Report Date:,28/09/2017 16:18:43
Report User Name:,gvw
Report Computer Name:,DZ0044
Application:,WinSitu.exe
Application Version:,5.6.25.0


Log File Properties
File Name,RN24762_Append_2017-09-27_09-43-49-384.wsl
Create Date,27/09/2017 09:43:49

Device Properties
Device,Level TROLL 300
Site,RN24762  at round about
Device Name,RN011819_T_300_use_B_T_SN_177035
Serial Number,177117
Firmware Version,2.05
Hardware Version,3
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,28

Log Configuration
,Log Name,RN24762
,Created By,gvw
,Computer Name,DZ0044
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Create Date,20/04/2016 11:33:47 AUS Central Standard Time
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,20/04/2016 12:00:00 AUS Central Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,          Level Reference Mode:,Set first logged value to offset
,        Level Reference Offset:,5.59 (m)


Other Log Settings
,Depth of Probe:,10.3109 (m)
,Head Pressure:,1030.06 (cmH2O)
,Temperature:,34.4233 (C)



Log Data:
Record Count,12598

Sensors,1

 ,1,177117,Pressure/Temp 30 PSIA (10.9m/35.8ft)

Time Zone: AUS Central Standard Time

,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,
,SN#: 177117                   ,SN#: 177117                   ,SN#: 177117                   ,
Date and Time,Pressure (cmH2O)              ,Temperature (C)               ,Level Depth To Water (m)      ,
20/04/2016 12:00:00    ,                      1738.509,                        29.864,                         5.590,
20/04/2016 13:00:00    ,                      1737.402,                        29.861,                         5.601,
20/04/2016 14:00:00    ,                      1737.084,                        29.857,                         5.604,
20/04/2016 15:00:00    ,                      1736.875,                        29.856,                         5.606,
20/04/2016 16:00:00    ,                      1736.778,                        29.858,                         5.607,
20/04/2016 17:00:00    ,                      1736.725,                        29.860,                         5.608,
20/04/2016 18:00:00    ,                      1736.915,                        29.856,                         5.606,
20/04/2016 19:00:00    ,                      1736.987,                        29.857,                         5.605,
20/04/2016 20:00:00    ,                      1737.084,                        29.857,                         5.604,
20/04/2016 21:00:00    ,                      1737.410,                        29.859,                         5.601,
20/04/2016 22:00:00    ,                      1737.418,                        29.859,                         5.601,
20/04/2016 23:00:00    ,                      1737.346,                        29.858,                         5.602,
21/04/2016 00:00:00    ,                      1737.209,                        29.860,                         5.603,
21/04/2016 01:00:00    ,                      1736.995,                        29.859,                         5.605,
21/04/2016 02:00:00    ,                      1737.040,                        29.860,                         5.605,
21/04/2016 03:00:00    ,                      1736.903,                        29.858,                         5.606,
21/04/2016 04:00:00    ,                      1736.802,                        29.859,                         5.607,
21/04/2016 05:00:00    ,                      1736.943,                        29.859,                         5.606,
21/04/2016 06:00:00    ,                      1737.148,                        29.859,                         5.604,
21/04/2016 07:00:00    ,                      1737.466,                        29.859,                         5.600,
21/04/2016 08:00:00    ,                      1737.442,                        29.857,                         5.601,
21/04/2016 09:00:00    ,                      1737.511,                        29.860,                         5.600,
21/04/2016 10:00:00    ,                      1737.523,                        29.856,                         5.600,
21/04/2016 11:00:00    ,                      1737.032,                        29.858,                         5.605,
21/04/2016 12:00:00    ,                      1736.383,                        29.858,                         5.611,
21/04/2016 13:00:00    ,                      1735.940,                        29.858,                         5.616,
21/04/2016 14:00:00    ,                      1735.329,                        29.856,                         5.622,
21/04/2016 15:00:00    ,                      1735.034,                        29.862,                         5.625,
21/04/2016 16:00:00    ,                      1734.882,                        29.860,                         5.626,
21/04/2016 17:00:00    ,                      1734.833,                        29.858,                         5.627,
21/04/2016 18:00:00    ,                      1734.982,                        29.861,                         5.625,
21/04/2016 19:00:00    ,                      1735.131,                        29.858,                         5.624,
21/04/2016 20:00:00    ,                      1735.232,                        29.861,                         5.623,
21/04/2016 21:00:00    ,                      1735.409,                        29.857,                         5.621,
21/04/2016 22:00:00    ,                      1735.614,                        29.861,                         5.619,
21/04/2016 23:00:00    ,                      1735.558,                        29.860,                         5.620,
22/04/2016 00:00:00    ,                      1735.438,                        29.862,                         5.621,
22/04/2016 01:00:00    ,                      1735.176,                        29.859,                         5.623,
22/04/2016 02:00:00    ,                      1735.131,                        29.857,                         5.624,
22/04/2016 03:00:00    ,                      1734.946,                        29.861,                         5.626,
22/04/2016 04:00:00    ,                      1734.999,                        29.861,                         5.625,
22/04/2016 05:00:00    ,                      1734.922,                        29.860,                         5.626,
22/04/2016 06:00:00    ,                      1734.898,                        29.861,                         5.626,
22/04/2016 07:00:00    ,                      1735.381,                        29.861,                         5.621,
22/04/2016 08:00:00    ,                      1735.719,                        29.860,                         5.618,
22/04/2016 09:00:00    ,                      1735.618,                        29.863,                         5.619,
22/04/2016 10:00:00    ,                      1735.607,                        29.858,                         5.619,
22/04/2016 11:00:00    ,                      1735.284,                        29.861,                         5.622,
22/04/2016 12:00:00    ,                      1734.708,                        29.859,                         5.628,
22/04/2016 13:00:00    ,                      1734.225,                        29.861,                         5.633,
22/04/2016 14:00:00    ,                      1733.746,                        29.861,                         5.638,
22/04/2016 15:00:00    ,                      1733.259,                        29.860,                         5.643,
22/04/2016 16:00:00    ,                      1733.154,                        29.860,                         5.644,
22/04/2016 17:00:00    ,                      1733.452,                        29.858,                         5.641,
22/04/2016 18:00:00    ,                      1733.585,                        29.860,                         5.639,
22/04/2016 19:00:00    ,                      1733.738,                        29.861,                         5.638,
22/04/2016 20:00:00    ,                      1733.899,                        29.862,                         5.636,
22/04/2016 21:00:00    ,                      1734.117,                        29.861,                         5.634,
22/04/2016 22:00:00    ,                      1734.342,                        29.858,                         5.632,
22/04/2016 23:00:00    ,                      1734.040,                        29.861,                         5.635,
23/04/2016 00:00:00    ,                      1734.169,                        29.861,                         5.633,
23/04/2016 01:00:00    ,                      1733.446,                        29.860,                         5.641,
23/04/2016 02:00:00    ,                      1733.501,                        29.860,                         5.640,
23/04/2016 03:00:00    ,                      1733.082,                        29.863,                         5.644,
23/04/2016 04:00:00    ,                      1733.348,                        29.862,                         5.642,
23/04/2016 05:00:00    ,                      1733.279,                        29.864,                         5.642,
